DC_ID,COMPONENT_1,COMPONENT_2,EFFICACY,EFFECT_TYPE,DISEASE,ICD10_S
DC000136,acetaminophen,codeine,Efficacious,,Relief of moderate to moderately severe pain,"R52 Pain, unspecified"
DC000018,bupivacaine,epinephrine,Efficacious,,For local anesthesia for dental procedures,
DC000427,cimetidine,fexofenadine,Need further study,,Ulcers,K25 Gastric ulcer
DC000459,fosinopril,hydrochlorothiazide,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000049,eprosartan,hydrochlorothiazide,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000076,bisoprolol,hydrochlorothiazide,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000020,diphenhydramine,ibuprofen,Efficacious,,Used to minor aches and pains that may cause sleeplessness.,"R52 Pain, unspecified"
DC000058,hydrocodone,ibuprofen,Efficacious,,Short-term (generally less than 10 days) management of acute pain.,R52.0 acute pain
DC007187,famotidine,ibuprofen,Efficacious,,It is indicated for the relief of signs and symptoms of rheumatoid arthritis and osteoarthritis and to decrease the risk of developing upper gastrointestinal ulcers.,M05 Rheumatoid arthritis with rheumatoid factor; M19 Other and unspecified osteoarthritis
DC000187,capecitabine,imatinib,Non-efficacious,,Metastatic breast cancer,C50 Malignant neoplasm of breast
DC000482,hydrochlorothiazide,irbesartan,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000362,docetaxel,irinotecan,Efficacious,,Advanced esophageal cancer,"C15.9 Malignant neoplasm of esophagus, unspecified"
DC000016,epinephrine,lidocaine,Efficacious,,Local anesthetic,
DC000476,hydrochlorothiazide,lisinopril,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000477,hydrochlorothiazide,losartan,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000465,bendroflumethiazide,nadolol,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000119,lansoprazole,naproxen,Efficacious,,"Reducing the risk of NSAID-associated gastric ulcers in patients with a history of documented gastric ulcer(s) who require the use of an NSAID for treatment of the signs and symptoms of rheumatoid arthritis, osteoarthritis, and/or ankylosing spondylitis.",K25 Gastric ulcer
DC000289,enalapril,nitrendipine,Efficacious,,Hypertension,I10 Essential (primary) hypertension
DC000463,amlodipine,olmesartan,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000483,hydrochlorothiazide,olmesartan,Efficacious,,For patients with hypertension,I10 Essential (primary) hypertension
DC000182,methotrexate,omeprazole,Non-efficacious,,Malignant diseases,
DC000071,ibuprofen,oxycodone,Efficacious,,Short-term to relieve moderate to severe pain.,"R52 Pain, unspecified"
DC000077,hydrocortisone,oxytetracycline,Efficacious,,"Used in inflammatory conditions of the palpebral and bulbar conjunctiva, cornea, and anterior segment of the globe where the inherent risk of steroid use in certain infective conjunctivitides is accepted to obtain a diminution in edema and inflammation.","H10-H11  Disorders of conjunctiva; H15-H22  Disorders of sclera, cornea, iris and ciliary body"
DC000341,cyclophosphamide,paclitaxel,Efficacious,,Advanced or recurrent breast cancer,C50 Malignant neoplasms of breast; C79.81 Secondary malignant neoplasm of breast
DC000219,methotrexate,pantoprazole,Non-efficacious,,Malignant diseases,
DC000144,acetaminophen,pentazocine,Efficacious,,Relief of mild to moderate pain,"R52 Pain, unspecified"
DC000274,indapamide,perindopril,Efficacious,,Hypertension in type 2 diabetes,E11.5 Type 2 diabetes mellitus with circulatory complications;
DC000300,antazoline,pheniramine,Efficacious,,Temporarily relief minor allergic symptoms of the eye.,H10 Conjunctivitis
DC007272,hydrochlorothiazide,pindolol,Efficacious,,Hypertension,I10 Essential (primary) hypertension
